5,1,0.2,4148
10,1,0.2,7392
20,1,0.2,13505
5,1,0.4,9222
10,1,0.4,15814
20,1,0.4,30498
5,1,0.6,14166
10,1,0.6,26505
20,1,0.6,50866
5,1,0.8,21285
10,1,0.8,39560
20,1,0.8,74063
5,1,1.0,27737
10,1,1.0,51425
20,1,1.0,97118
5,2,0.2,1867
10,2,0.2,3328
20,2,0.2,5974
5,2,0.4,4110
10,2,0.4,7422
20,2,0.4,14555
5,2,0.6,6487
10,2,0.6,11735
20,2,0.6,21892
5,2,0.8,9751
10,2,0.8,16412
20,2,0.8,32609
5,2,1.0,11916
10,2,1.0,20602
20,2,1.0,40912
5,4,0.2,1143
10,4,0.2,1950
20,4,0.2,3555
5,4,0.4,2689
10,4,0.4,4423
20,4,0.4,8524
5,4,0.6,3757
10,4,0.6,6806
20,4,0.6,12197
5,4,0.8,5858
10,4,0.8,9265
20,4,0.8,18826
5,4,1.0,6421
10,4,1.0,12271
20,4,1.0,23404
5,8,0.2,1040
10,8,0.2,1675
20,8,0.2,3044
5,8,0.4,1831
10,8,0.4,3431
20,8,0.4,6017
5,8,0.6,2709
10,8,0.6,5223
20,8,0.6,9130
5,8,0.8,4005
10,8,0.8,7684
20,8,0.8,12712
5,8,1.0,5137
10,8,1.0,8854
20,8,1.0,17867
5,16,0.2,1122
10,16,0.2,1898
20,16,0.2,3270
5,16,0.4,2114
10,16,0.4,3758
20,16,0.4,6328
5,16,0.6,2954
10,16,0.6,5244
20,16,0.6,10864
5,16,0.8,4488
10,16,0.8,7227
20,16,0.8,14646
5,16,1.0,5245
10,16,1.0,9550
20,16,1.0,18684
